"DatesR","P","T","E","Qls","Qmm"
1984-01-01,4.1,0.5,0.2,2640,0.6336
1984-01-02,15.9,0.2,0.2,3440,0.8256
1984-01-03,0.8,0.9,0.3,12200,2.928
1984-01-04,0,0.5,0.3,7600,1.824
1984-01-05,0,-1.6,0.1,6250,1.5
1984-01-06,0,0.9,0.3,5650,1.356
1984-01-07,0,3.5,0.4,5300,1.272
1984-01-08,0,4.4,0.4,4700,1.128
1984-01-09,2.9,7,0.5,3940,0.9456
1984-01-10,0,6.4,0.5,5300,1.272
1984-01-11,2.9,5.8,0.5,5000,1.2
1984-01-12,5.8,5.8,0.5,6250,1.5
1984-01-13,7.4,5.4,0.5,6600,1.584
1984-01-14,0,3.2,0.4,6950,1.668
1984-01-15,1.2,4.8,0.5,4190,1.0056
1984-01-16,0,6.3,0.5,4440,1.0656
1984-01-17,0,5.2,0.5,6950,1.668
1984-01-18,0.1,2.6,0.4,6950,1.668
1984-01-19,0,2.4,0.4,5650,1.356
1984-01-20,11.7,4.3,0.5,5300,1.272
1984-01-21,0,-0.2,0.2,6600,1.584
1984-01-22,0,-2.4,0.1,3940,0.9456
1984-01-23,0,-3.4,0.1,3940,0.9456
1984-01-24,3,-2.2,0.2,4700,1.128
1984-01-25,1.1,-1.2,0.2,4700,1.128
1984-01-26,13.9,-0.2,0.3,5000,1.2
1984-01-27,4.3,1.9,0.4,13100,3.144
1984-01-28,2,0.8,0.3,15300,3.672
1984-01-29,1.1,-2.1,0.2,8300,1.992
1984-01-30,0.6,-5.4,0,8300,1.992
1984-01-31,0,-5.1,0,7600,1.824
1984-02-01,5.6,2.6,0.4,8300,1.992
1984-02-02,1.8,5.3,0.6,11800,2.832
1984-02-03,6.1,7.4,0.7,11400,2.736
1984-02-04,1.8,4.4,0.5,13100,3.144
1984-02-05,0,5.2,0.6,9450,2.268
1984-02-06,0,10.5,0.9,10600,2.544
1984-02-07,3.5,12.5,1.1,10600,2.544
1984-02-08,10,4.7,0.6,12200,2.928
1984-02-09,0,3.1,0.5,15700,3.768
1984-02-10,2,2.9,0.5,10200,2.448
1984-02-11,9.1,5.2,0.7,11400,2.736
1984-02-12,3.7,3.6,0.6,10600,2.544
1984-02-13,23.5,3,0.5,9050,2.172
1984-02-14,1.6,2.3,0.5,14800,3.552
1984-02-15,0,1.6,0.5,15700,3.768
1984-02-16,2.9,5.4,0.7,12600,3.024
1984-02-17,3.9,5.8,0.8,14000,3.36
1984-02-18,1.3,4.1,0.7,16600,3.984
1984-02-19,0.6,3.3,0.6,14400,3.456
1984-02-20,0.1,1.9,0.5,11400,2.736
1984-02-21,1.6,4,0.7,11800,2.832
1984-02-22,1.8,4.1,0.7,11400,2.736
1984-02-23,0.6,3.4,0.7,11000,2.64
1984-02-24,0,6,0.9,10200,2.448
1984-02-25,0.7,4.3,0.7,8300,1.992
1984-02-26,3.1,3.9,0.7,5950,1.428
1984-02-27,0.3,3.6,0.7,4440,1.0656
1984-02-28,0,1.9,0.6,7950,1.908
1984-02-29,0,2.6,0.7,7600,1.824
1984-03-01,0,2.6,0.6,6250,1.5
1984-03-02,1.2,1.8,0.6,5950,1.428
1984-03-03,4,5.1,0.9,4700,1.128
1984-03-04,2.9,3.4,0.7,4440,1.0656
1984-03-05,5.3,2.3,0.6,4440,1.0656
1984-03-06,4.1,3.1,0.7,7600,1.824
1984-03-07,1.7,4.3,0.8,6950,1.668
1984-03-08,1.1,4,0.8,6250,1.5
1984-03-09,0,4,0.8,5650,1.356
1984-03-10,3.6,3.9,0.8,5000,1.2
1984-03-11,3.5,1.7,0.6,3940,0.9456
1984-03-12,0.2,2.7,0.7,3690,0.8856
1984-03-13,0,5.7,1.1,5650,1.356
1984-03-14,0,8.2,1.3,3940,0.9456
1984-03-15,0,8.5,1.4,3940,0.9456
1984-03-16,0,10.3,1.5,4190,1.0056
1984-03-17,0,9.2,1.4,4190,1.0056
1984-03-18,0,9.2,1.5,3040,0.7296
1984-03-19,0,10.1,1.6,1960,0.4704
1984-03-20,0,9.4,1.5,2280,0.5472
1984-03-21,2.1,7.8,1.4,2640,0.6336
1984-03-22,0,7.5,1.3,2640,0.6336
1984-03-23,0,7.7,1.4,2640,0.6336
1984-03-24,0,8.3,1.5,2280,0.5472
1984-03-25,0.2,10.5,1.7,1640,0.3936
1984-03-26,8.6,6.8,1.3,1640,0.3936
1984-03-27,2.2,5.9,1.2,3690,0.8856
1984-03-28,4.1,6.7,1.3,3240,0.7776
1984-03-29,0,4.5,1.1,3040,0.7296
1984-03-30,2.5,8,1.5,2640,0.6336
1984-03-31,0.1,8.3,1.6,3040,0.7296
1984-04-01,5.3,8.2,1.6,1640,0.3936
1984-04-02,0.2,10.9,1.9,1960,0.4704
1984-04-03,0,12.5,2.2,2280,0.5472
1984-04-04,1.9,12.5,2.2,2280,0.5472
1984-04-05,2,7,1.5,3240,0.7776
1984-04-06,3.8,8.8,1.7,3240,0.7776
1984-04-07,6.6,11.7,2.1,6250,1.5
1984-04-08,0.1,7.7,1.6,3440,0.8256
1984-04-09,0,6.2,1.4,3240,0.7776
1984-04-10,2.2,6.1,1.4,4190,1.0056
1984-04-11,16.8,5,1.3,6250,1.5
1984-04-12,6.6,3.1,1.1,9450,2.268
1984-04-13,0,5.1,1.3,9050,2.172
1984-04-14,4.1,5.4,1.4,7600,1.824
1984-04-15,3.4,4.6,1.3,7250,1.74
1984-04-16,3.1,2.5,1,5000,1.2
1984-04-17,3.2,3.2,1.1,9450,2.268
1984-04-18,0.3,4.6,1.3,11400,2.736
1984-04-19,4.3,2.6,1.1,10200,2.448
1984-04-20,0.1,3.1,1.1,9450,2.268
1984-04-21,2.9,6.1,1.6,8700,2.088
1984-04-22,2.1,5.2,1.4,7600,1.824
1984-04-23,1.7,6.2,1.6,5300,1.272
1984-04-24,0.1,7.2,1.8,6950,1.668
1984-04-25,0,2,1,7600,1.824
1984-04-26,0,3.4,1.2,6600,1.584
1984-04-27,0.9,3.5,1.2,5300,1.272
1984-04-28,0,3.6,1.3,5950,1.428
1984-04-29,0,8.2,2,5000,1.2
1984-04-30,0,11.6,2.5,3440,0.8256
1984-05-01,0,12,2.6,3040,0.7296
1984-05-02,0,13,2.8,4700,1.128
1984-05-03,1.8,10.9,2.4,4190,1.0056
1984-05-04,6.8,10,2.3,4700,1.128
1984-05-05,0.4,8.5,2.1,5300,1.272
1984-05-06,0,9.5,2.2,4440,1.0656
1984-05-07,0.3,10.2,2.4,3240,0.7776
1984-05-08,0.5,13.2,2.9,3440,0.8256
1984-05-09,3.2,10.9,2.5,3240,0.7776
1984-05-10,0.3,9.6,2.3,3440,0.8256
