Ano	Data	Cota
2023	17/11	9,14
2023	03/11	9,5
2023	29/10	8,38
2023	12/10	10,76
2023	09/10	10,19
2023	05/10	8,78
2022	05/05	9,4
2017	06/06	8,52
2017	01/06	8,71
2015	23/10	10,03
2014	29/06	8,13
2014	09/06	10,18
2013	23/09	10,51
2011	09/09	12,6
2011	31/08	8,5
2010	26/04	8,46
2009	29/09	8,06
2008	24/11	11,52
2001	01/10	11,02
1999	03/07	8,26
1998	28/04	8,24
1997	01/02	9,44
1992	01/07	10,62
1992	29/05	12,8
1990	21/07	8,82
1984	07/08	15,46
1983	24/09	11,75
1983	09/07	15,34
1983	20/05	12,52
1983	04/03	10,6
1982	15/11	8,65
1980	22/12	13,27
1980	31/07	8,4
1979	09/10	10,45
1979	10/05	9,45
1978	26/12	11,5
1977	18/08	9,15
1976	29/05	10,85
1976	15/05	8,3
1975	13/12	8,5
1975	04/10	12,63
1973	29/08	12,35
1973	28/07	9,35
1973	22/07	9,3
1973	03/07	9,0
1973	25/06	11,3
1972	29/08	11,35
1972	17/08	10,7
1971	09/06	10,35
1969	06/04	10,14
1967	18/02	10,5
1966	13/02	10,07
1963	29/09	9,67
1962	21/09	9,29
1962	09/09	8,94
1961	01/11	12,49
1961	30/09	9,63
1961	12/09	10,35
1957	16/09	9,44
1957	18/08	13,07
1957	02/08	10,6
1957	20/07	9,28
1955	20/05	10,61
1954	22/11	12,53
1954	08/05	9,56
1953	01/11	9,65
1950	17/10	9,45
1948	17/05	11,85
1946	02/02	9,45
1943	03/08	10,5
1939	27/11	11,45
1936	06/08	10,4
1935	24/09	11,65
1933	04/10	11,85
1932	25/05	9,75
1931	18/09	11,53
1931	14/09	11,25
1931	02/05	11,05
1928	17/09	10,3
1928	15/08	10,82
1928	18/06	11,76
1928	31/05	8,2
1927	09/10	12,3
1926	14/01	9,5
1925	14/05	10,3
1923	20/06	9,0
1911	29/10	9,86
1911	02/10	16,9
1900	02/10	12,8
1898	25/12	11,3
1898	01/05	12,8
1891	18/06	13,8
1888	23/09	12,8
1880	23/09	17,1
1870	11/10	10,0
1869	21/10	11,0
1868	27/11	13,3
1864	17/09	10,0
1862	20/11	9,0
1855	20/11	13,3
1852	29/10	16,3
