BaciaCodigo,SubBaciaCodigo,RioCodigo,RioNome,EstadoCodigo,nmEstado,MunicipioCodigo,nmMunicipio,ResponsavelCodigo,ResponsavelSigla,ResponsavelUnidade,ResponsavelJurisdicao,OperadoraCodigo,OperadoraSigla,OperadoraUnidade,OperadoraSubUnidade,TipoEstacao,Codigo,Nome,CodigoAdicional,Latitude,Longitude,Altitude,AreaDrenagem,TipoEstacaoEscala,TipoEstacaoRegistradorNivel,TipoEstacaoDescLiquida,TipoEstacaoSedimentos,TipoEstacaoQualAgua,TipoEstacaoPluviometro,TipoEstacaoRegistradorChuva,TipoEstacaoTanqueEvapo,TipoEstacaoClimatologica,TipoEstacaoPiezometria,TipoEstacaoTelemetrica,PeriodoEscalaInicio,PeriodoEscalaFim,PeriodoRegistradorNivelInicio,PeriodoRegistradorNivelFim,PeriodoDescLiquidaInicio,PeriodoDescLiquidaFim,PeriodoSedimentosInicio,PeriodoSedimentosFim,PeriodoQualAguaInicio,PeriodoQualAguaFim,PeriodoPluviometroInicio,PeriodoPluviometroFim,PeriodoRegistradorChuvaInicio,PeriodoRegistradorChuvaFim,PeriodoTanqueEvapoInicio,PeriodoTanqueEvapoFim,PeriodoClimatologicaInicio,PeriodoClimatologicaFim,PeriodoPiezometriaInicio,PeriodoPiezometriaFim,PeriodoTelemetricaInicio,PeriodoTelemetricaFim,TipoRedeBasica,TipoRedeEnergetica,TipoRedeNavegacao,TipoRedeCursoDagua,TipoRedeEstrategica,TipoRedeCaptacao,TipoRedeSedimentos,TipoRedeQualAgua,TipoRedeClasseVazao,UltimaAtualizacao,Operando,Descricao,NumImagens,DataIns,DataAlt
6,65,65118800,RIO TAQUARAL,22,PARANÁ,22257000,SÃO MATEUS DO SUL,98,SANEPAR,,,98,SANEPAR,,,1,65059998,ETA SÃO MATEUS DO SUL,,-25.8717,-50.375,760,111,0,0,0,0,0,0,0,0,0,0,0,1800-01-01 00:00:00,1800-01-01 00:00:00,,,,,,,1800-01-01 00:00:00,1800-01-01 00:00:00,,,,,,,,,,,,,0,0,0,9,0,4,0,10,1,2010-04-15 00:00:00,0,,0,,2010-04-15 00:00:00
6,65,65100000,RIO IGUAÇU,22,PARANÁ,22257000,SÃO MATEUS DO SUL,52,IAT-PR,,,52,IAT-PR,,,1,65060000,SÃO MATEUS DO SUL,,-25.8758,-50.3897,745,6050,0,0,0,0,1,0,0,0,0,0,0,1930-05-01 00:00:00,2016-12-01 00:00:00,,,1930-05-01 00:00:00,2016-12-01 00:00:00,1982-01-01 00:00:00,2016-12-01 00:00:00,1977-02-01 00:00:00,,,,,,,,,,,,,,0,0,0,2,0,7,0,3,1,2018-08-13 00:00:00,1,RNQA_PR-8428-I-3,0,,2018-08-13 00:00:00
6,65,65100000,RIO IGUAÇU,22,PARANÁ,22257000,SÃO MATEUS DO SUL,28,COPEL,,,28,COPEL,,1,1,65060001,UHE GOV. NEY AMINTHAS SÃO MATEUS DO SUL,,-25.8756,-50.3894,760,6050,1,0,1,1,0,0,0,0,0,0,1,1930-05-01 00:00:00,,,,1930-05-01 00:00:00,,2015-01-01 00:00:00,,,,,,,,,,,,,,1997-06-01 00:00:00,,0,1,0,2,0,6,0,0,1,2015-06-15 00:00:00,1,RES. ANA/ANEEL N. 0,0,,2015-06-15 00:00:00
6,65,65120000,RIO NEGRO,23,SANTA CATARINA,22003000,AGUDOS DO SUL,1,ANA,27,1,1,ANA,,,1,65085000,BATEIAS DE BAIXO,,-26.08,-49.2692,800,391,0,0,0,0,0,0,0,0,0,0,0,1939-08-01 00:00:00,1967-05-01 00:00:00,,,1939-08-01 00:00:00,1967-05-01 00:00:00,,,,,,,,,,,,,,,,,0,0,0,9,0,7,0,10,1,2005-11-16 00:00:00,0,,0,,
6,65,65120000,RIO NEGRO,22,PARANÁ,22003000,AGUDOS DO SUL,79,CGT ELETROSUL,,,79,CGT ELETROSUL,,,1,65085002,BATEIAS DE BAIXO,,-26.0794,-49.2692,800,497,0,0,0,0,0,0,0,0,0,0,0,1974-09-01 00:00:00,1975-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,0,1,0,3,0,6,0,10,1,2006-09-26 00:00:00,0,,0,,
6,65,65120000,RIO NEGRO,22,PARANÁ,22192000,PIÊN,52,IAT-PR,,,52,IAT-PR,,,1,65090000,FRAGOSOS,,-26.1547,-49.3806,790,803,1,0,1,0,1,0,0,0,0,0,0,1967-05-01 00:00:00,,,,1967-05-01 00:00:00,,1982-02-01 00:00:00,1982-10-01 00:00:00,1984-04-01 00:00:00,,,,,,,,,,,,1996-04-01 00:00:00,2013-07-01 00:00:00,0,0,0,3,0,7,0,3,1,2019-03-25 00:00:00,1,RNQA_PR-8429-I-10,0,,2019-03-25 00:00:00
6,65,65120000,RIO NEGRO,22,PARANÁ,22192000,PIÊN,28,COPEL,,,93,SIMEPAR,,,1,65090001,FRAGOSOS,COPEL,-26.1547,-49.3806,,803,1,0,0,0,0,0,0,0,0,0,1,1997-05-01 00:00:00,,,,,,,,,,,,,,,,,,,,1997-05-01 00:00:00,,0,1,0,3,0,6,0,0,0,2014-08-20 00:00:00,1,,0,,2014-08-20 00:00:00
6,65,65120200,RIO NEGRINHO,23,SANTA CATARINA,23148000,RIO NEGRINHO,1,ANA,27,1,52,IAT-PR,22,2,1,65093000,RIO NEGRINHO MONTANTE,,-26.2819,-49.4833,750,297,1,0,1,0,1,0,0,0,0,0,0,2002-08-01 00:00:00,,,,2002-08-01 00:00:00,,,,2017-01-01 00:00:00,,,,,,,,,,,,,,0,0,0,3,0,7,0,3,1,2022-12-20 00:00:00,1,RNQA_PR8428-I-4,0,,2022-12-20 00:00:00
6,65,65120300,RIO PRETO,23,SANTA CATARINA,23099000,MAFRA,1,ANA,27,1,52,IAT-PR,22,2,1,65094500,AVENCAL,,-26.1975,-49.6183,788,960,1,0,1,1,1,0,0,0,0,0,0,1976-07-01 00:00:00,,,,1976-07-01 00:00:00,,1982-02-01 00:00:00,,1984-04-01 00:00:00,,,,,,,,,,,,,,0,0,0,3,0,7,0,3,1,2018-05-15 00:00:00,1,RNQA_PR-8436-I-28,0,,2018-05-15 00:00:00
6,65,65120000,RIO NEGRO,23,SANTA CATARINA,23099000,MAFRA,1,ANA,27,1,52,IAT-PR,22,2,1,65095000,RIO PRETO DO SUL,ANA,-26.2156,-49.6036,780,2610,1,0,1,1,1,0,0,0,0,0,1,1951-01-01 00:00:00,,,,1951-01-01 00:00:00,,1982-02-01 00:00:00,,1984-04-01 00:00:00,,,,,,,,,,,,2013-11-01 00:00:00,,1,0,0,3,0,7,0,3,1,2018-08-16 00:00:00,1,TELEMÉTRICA - VAISA,0,,2018-08-16 00:00:00
6,65,65120000,RIO NEGRO,23,SANTA CATARINA,23099000,MAFRA,49,CEESC,,,49,CEESC,,,1,65097000,TINGUI,,-26.1697,-49.6947,760,2730,0,0,0,0,0,0,0,0,0,0,0,1966-05-01 00:00:00,1972-11-01 00:00:00,,,1966-05-01 00:00:00,1972-11-01 00:00:00,,,,,,,,,,,,,,,,,0,0,0,3,0,6,0,0,1,2016-10-07 00:00:00,0,,0,,2016-10-07 00:00:00
6,65,65120000,RIO NEGRO,22,PARANÁ,22224000,RIO NEGRO,28,COPEL,,,28,COPEL,,2,1,65100000,RIO NEGRO,,-26.1097,-49.8011,766,3450,0,0,0,0,0,0,0,0,0,0,0,1930-05-01 00:00:00,2015-12-01 00:00:00,,,1930-05-01 00:00:00,2015-12-01 00:00:00,1976-08-01 00:00:00,2015-12-01 00:00:00,1976-08-01 00:00:00,2015-12-01 00:00:00,,,,,,,,,,,1976-08-01 00:00:00,2015-12-01 00:00:00,0,0,0,3,0,7,0,3,1,2018-12-19 00:00:00,0,,0,,2018-12-19 00:00:00
6,65,65120000,RIO NEGRO,22,PARANÁ,22224000,RIO NEGRO,28,COPEL,,,28,COPEL,,1,1,65100001,PCH DERIVAÇÃO DO RIO JORDÃO RIO NEGRO,COPEL,-26.1097,-49.8011,766,3450,1,0,1,1,0,0,0,0,0,0,1,1930-05-01 00:00:00,,,,2003-03-01 00:00:00,,1976-08-01 00:00:00,,,,,,,,,,,,,,1997-10-01 00:00:00,,0,1,0,3,0,6,0,0,0,2016-02-24 00:00:00,1,RES. ANA/ANEEL N. 0,0,,2016-02-24 00:00:00
6,65,65120000,RIO NEGRO,22,PARANÁ,22224000,RIO NEGRO,52,IAT-PR,,,52,IAT-PR,,,1,65100020,BARRA GRANDE,,-26.1,-49.8,,3460,0,0,0,0,0,0,0,0,0,0,0,2005-01-01 00:00:00,2005-05-01 00:00:00,,,,,,,,,,,,,,,,,,,,,0,0,0,9,0,7,0,10,1,2010-04-16 00:00:00,0,,0,,2010-04-16 00:00:00
6,65,65120000,RIO NEGRO,22,PARANÁ,22224000,RIO NEGRO,98,SANEPAR,,,98,SANEPAR,,,1,65100030,ETA RIO NEGRO,,-26.105,-49.8033,780,3450,1,0,0,0,0,0,0,0,0,0,0,1976-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,0,0,0,9,0,4,0,10,1,2006-05-05 00:00:00,1,,0,,
6,65,65120150,RIO SÃO LOURENÇO,23,SANTA CATARINA,23099000,MAFRA,15,CELESC,,,15,CELESC,,,1,65119000,PCH SÃO LOURENÇO,,-26.1833,-49.8833,,89.6,0,0,0,0,0,0,0,0,0,0,0,2001-12-01 00:00:00,2012-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,0,1,0,3,0,6,0,0,0,2013-03-19 00:00:00,0,,0,,2013-03-19 00:00:00
6,65,65120150,RIO SÃO LOURENÇO,23,SANTA CATARINA,23099000,MAFRA,15,CELESC,,,15,CELESC,,,1,65120000,CGH SÃO LOURENÇO JUSANTE,,-26.1833,-49.8833,818,89.6,0,0,0,0,0,0,0,0,0,0,0,2002-09-01 00:00:00,2018-03-01 00:00:00,,,2002-08-01 00:00:00,2018-03-01 00:00:00,,,,,,,,,,,,,,,,,0,1,0,3,0,6,0,0,1,2018-04-16 00:00:00,0,,0,,2018-04-16 00:00:00
6,65,65120400,RIO DA VÁRZEA,22,PARANÁ,22143000,MANDIRITUBA,52,IAT-PR,,,52,IAT-PR,,,1,65125000,TAPERA,,-25.8831,-49.2331,925,279,0,0,0,0,0,0,0,0,0,0,0,1976-06-01 00:00:00,1982-05-01 00:00:00,,,1976-06-01 00:00:00,1982-05-01 00:00:00,,,,,,,,,,,,,,,,,0,0,0,9,0,7,0,10,1,2005-11-18 00:00:00,0,,0,,
6,65,65120400,RIO DA VÁRZEA,22,PARANÁ,22143000,MANDIRITUBA,52,IAT-PR,,,52,IAT-PR,,,1,65130000,SALTO BARAÇÁ,,-25.9114,-49.2592,920,332,0,0,0,0,0,0,0,0,0,0,0,1957-03-01 00:00:00,1981-09-01 00:00:00,,,1956-12-01 00:00:00,1981-09-01 00:00:00,,,,,,,,,,,,,,,,,0,0,0,9,0,7,0,10,1,2005-11-18 00:00:00,0,,0,,
6,65,65120400,RIO DA VÁRZEA,22,PARANÁ,22143000,MANDIRITUBA,1,ANA,27,1,52,IAT-PR,22,2,1,65135000,RIO DA VÁRZEA DOS LIMA,,-25.9344,-49.3931,810,605,1,0,1,1,1,0,0,0,0,0,0,1939-08-01 00:00:00,,,,1939-08-01 00:00:00,,1982-02-01 00:00:00,,1984-04-01 00:00:00,,,,,,,,,,,,,,0,0,0,3,0,7,0,3,1,2018-05-15 00:00:00,1,RNQA_PRSC-8429-IE-1,0,,2018-05-15 00:00:00
6,65,65120550,RIO CAÍ,22,PARANÁ,22143000,MANDIRITUBA,52,IAT-PR,,,52,IAT-PR,,,1,65136000,AREIA BRANCA,,-25.8653,-49.4103,830,59.8,0,0,0,0,0,0,0,0,0,0,0,1956-12-01 00:00:00,1960-02-01 00:00:00,,,1956-12-01 00:00:00,1960-02-01 00:00:00,,,,,,,,,,,,,,,,,0,0,0,9,0,7,0,10,1,2006-06-12 00:00:00,0,,0,,
6,65,65120400,RIO DA VÁRZEA,22,PARANÁ,22213000,QUITANDINHA,52,IAT-PR,,,52,IAT-PR,,,1,65136500,QUITANDINHA,,-25.8703,-49.5017,800,919,0,0,0,0,0,0,0,0,0,0,0,1976-04-01 00:00:00,1983-07-01 00:00:00,,,1976-04-01 00:00:00,1983-07-01 00:00:00,,,,,,,,,,,,,,,,,0,0,0,9,0,7,0,10,1,2005-11-18 00:00:00,0,,0,,
