BaciaCodigo,SubBaciaCodigo,RioCodigo,RioNome,EstadoCodigo,nmEstado,MunicipioCodigo,nmMunicipio,ResponsavelCodigo,ResponsavelSigla,ResponsavelUnidade,ResponsavelJurisdicao,OperadoraCodigo,OperadoraSigla,OperadoraUnidade,OperadoraSubUnidade,TipoEstacao,Codigo,Nome,CodigoAdicional,Latitude,Longitude,Altitude,AreaDrenagem,TipoEstacaoEscala,TipoEstacaoRegistradorNivel,TipoEstacaoDescLiquida,TipoEstacaoSedimentos,TipoEstacaoQualAgua,TipoEstacaoPluviometro,TipoEstacaoRegistradorChuva,TipoEstacaoTanqueEvapo,TipoEstacaoClimatologica,TipoEstacaoPiezometria,TipoEstacaoTelemetrica,PeriodoEscalaInicio,PeriodoEscalaFim,PeriodoRegistradorNivelInicio,PeriodoRegistradorNivelFim,PeriodoDescLiquidaInicio,PeriodoDescLiquidaFim,PeriodoSedimentosInicio,PeriodoSedimentosFim,PeriodoQualAguaInicio,PeriodoQualAguaFim,PeriodoPluviometroInicio,PeriodoPluviometroFim,PeriodoRegistradorChuvaInicio,PeriodoRegistradorChuvaFim,PeriodoTanqueEvapoInicio,PeriodoTanqueEvapoFim,PeriodoClimatologicaInicio,PeriodoClimatologicaFim,PeriodoPiezometriaInicio,PeriodoPiezometriaFim,PeriodoTelemetricaInicio,PeriodoTelemetricaFim,TipoRedeBasica,TipoRedeEnergetica,TipoRedeNavegacao,TipoRedeCursoDagua,TipoRedeEstrategica,TipoRedeCaptacao,TipoRedeSedimentos,TipoRedeQualAgua,TipoRedeClasseVazao,UltimaAtualizacao,Operando,Descricao,NumImagens,DataIns,DataAlt
8,82,,,22,PARANÁ,22096000,GUARATUBA,52,IAT-PR,,,52,IAT-PR,,,2,2548020,PEDRA BRANCA DO ARARAQUARA,,-25.9667,-48.9331,150,,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,1962-05-01 00:00:00,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2016-09-16 00:00:00,1,,0,,2016-09-16 00:00:00
8,82,,,22,PARANÁ,22096000,GUARATUBA,52,IAT-PR,,,52,IAT-PR,,,2,2548051,CUBATÃO,,-25.8167,-48.75,12,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1974-06-01 00:00:00,1997-06-01 00:00:00,,,,,,,,,,,0,0,0,0,0,7,0,0,0,2005-08-15 00:00:00,0,,0,,2010-04-16 00:00:00
8,82,,,22,PARANÁ,22256000,SÃO JOSÉ DOS PINHAI,52,IAT-PR,,,52,IAT-PR,,,2,2548052,ILHA DO RIO CLARO,,-25.8128,-48.9236,237,,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,1974-06-01 00:00:00,,,,,,,,,,,,0,0,0,0,0,7,0,0,0,2005-08-15 00:00:00,1,,0,2009-11-09 00:00:00,2010-04-16 00:00:00
8,82,,,22,PARANÁ,22096000,GUARATUBA,28,COPEL,,2,28,COPEL,,1,2,2548076,UHE GUARICANA RIO CUBATÃO,,-25.8181,-48.8072,10,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,1996-08-01 00:00:00,,,,,,,,,,2015-04-01 00:00:00,,0,1,0,0,0,6,0,0,0,2021-07-26 00:00:00,1,RES. ANA/ANEEL N. 0,0,,2021-07-26 00:00:00
8,82,,,22,PARANÁ,22256000,SÃO JOSÉ DOS PINHAI,28,COPEL,,,28,COPEL,,3,2,2548081,UHE CHAMINÉ BARRAMENTO RES. SALTO DO MEIO,,-25.8069,-48.9944,726,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,1997-06-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,1,0,0,0,6,0,0,0,2021-07-26 00:00:00,1,RES. ANA/ANEEL N. 0,0,,2021-07-26 00:00:00
8,82,,,22,PARANÁ,22256000,SÃO JOSÉ DOS PINHAI,28,COPEL,,,28,COPEL,,,2,2548085,BARRAGEM SÃO JOÃO,,-25.8053,-48.8653,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1997-04-01 00:00:00,2012-12-01 00:00:00,,,,,,,,,,,0,0,0,0,0,6,0,0,0,2018-12-19 00:00:00,0,,0,,2018-12-19 00:00:00
6,65,,,22,PARANÁ,22132000,LAPA,28,COPEL,,,28,COPEL,,,2,2549000,SÃO BENTO,,-25.9333,-49.7833,750,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1938-04-01 00:00:00,2012-12-01 00:00:00,,,,,,,,,,,0,0,0,0,0,6,0,0,0,2018-12-19 00:00:00,0,,0,,2018-12-19 00:00:00
6,65,,,22,PARANÁ,22213000,QUITANDINHA,1,ANA,27,1,52,IAT-PR,22,2,2,2549003,RIO DA VÁRZEA DOS LIMA,,-25.95,-49.3931,810,,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,1940-09-01 00:00:00,,1984-05-01 00:00:00,2000-12-01 00:00:00,,,,,,,,,1,0,0,0,0,7,0,0,0,2009-11-09 00:00:00,1,,0,,2009-11-09 00:00:00
8,82,,,22,PARANÁ,22277000,TIJUCAS DO SUL,28,COPEL,,,28,COPEL,,,2,2549008,VOSSOROCA,,-25.8167,-49.0833,805,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1948-10-01 00:00:00,2017-01-01 00:00:00,,,,,,,,,,,0,0,0,0,0,6,0,0,0,2018-12-19 00:00:00,0,,0,,2018-12-19 00:00:00
6,65,,,22,PARANÁ,22041000,CAMPO DO TENENTE,52,IAT-PR,,,52,IAT-PR,,,2,2549023,CAMPO DO TENENTE,,-25.9833,-49.6833,780,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1975-02-01 00:00:00,1993-10-01 00:00:00,,,,,,,,,,,0,0,0,0,0,0,0,1,0,2005-05-25 00:00:00,0,,0,,2010-04-28 00:00:00
