"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2023";"0000";"16,2";"16,8";"16,2";"93,0";"93,0";"91,0";"15,0";"15,4";"15,0";"1013,2";"1013,3";"1012,7";"0,4";"241,0";"2,5";"";"0,0"
"01/06/2023";"0100";"15,5";"16,3";"15,5";"94,0";"94,0";"93,0";"14,6";"15,2";"14,5";"1013,4";"1013,5";"1013,2";"0,4";"269,0";"2,9";"";"0,0"
"01/06/2023";"0200";"14,8";"15,5";"14,8";"95,0";"95,0";"94,0";"14,1";"14,6";"14,1";"1013,3";"1013,4";"1013,2";"0,4";"236,0";"2,1";"";"0,0"
"01/06/2023";"0300";"14,8";"14,9";"14,6";"96,0";"96,0";"95,0";"14,2";"14,2";"13,9";"1013,1";"1013,3";"1013,1";"0,5";"260,0";"2,5";"";"0,0"
"01/06/2023";"0400";"14,4";"14,8";"14,4";"96,0";"96,0";"96,0";"13,8";"14,2";"13,8";"1012,9";"1013,1";"1012,8";"1,2";"261,0";"2,6";"";"0,0"
"01/06/2023";"0500";"14,6";"14,7";"14,3";"97,0";"97,0";"96,0";"14,1";"14,2";"13,8";"1012,6";"1012,9";"1012,6";"0,2";"249,0";"2,5";"";"0,0"
"01/06/2023";"0600";"14,5";"14,7";"14,5";"97,0";"97,0";"97,0";"14,0";"14,2";"14,0";"1012,3";"1012,6";"1012,3";"0,4";"244,0";"2,7";"";"0,0"
"01/06/2023";"0700";"14,8";"14,8";"14,4";"97,0";"97,0";"97,0";"14,3";"14,3";"13,8";"1012,0";"1012,3";"1012,0";"0,1";"217,0";"2,1";"";"0,0"
"01/06/2023";"0800";"14,7";"15,0";"14,7";"96,0";"97,0";"96,0";"14,1";"14,5";"14,0";"1012,0";"1012,1";"1011,8";"2,2";"239,0";"4,1";"";"0,0"
"01/06/2023";"0900";"14,7";"14,8";"14,7";"95,0";"96,0";"95,0";"13,9";"14,1";"13,9";"1012,5";"1012,6";"1011,9";"2,9";"246,0";"5,0";"";"0,0"
"01/06/2023";"1000";"14,9";"14,9";"14,7";"94,0";"95,0";"94,0";"14,0";"14,0";"13,9";"1013,3";"1013,3";"1012,5";"2,3";"247,0";"5,5";"1,90";"0,0"
"01/06/2023";"1100";"15,2";"15,2";"14,9";"94,0";"94,0";"94,0";"14,2";"14,2";"14,0";"1013,9";"1013,9";"1013,2";"2,3";"234,0";"4,4";"74,00";"0,0"
"01/06/2023";"1200";"16,0";"16,0";"15,2";"91,0";"94,0";"91,0";"14,5";"14,6";"14,2";"1014,5";"1014,6";"1013,9";"3,4";"242,0";"6,1";"415,20";"0,0"
"01/06/2023";"1300";"17,1";"17,3";"15,9";"87,0";"91,0";"87,0";"15,0";"15,4";"14,5";"1014,6";"1014,9";"1014,5";"3,3";"239,0";"6,2";"1130,10";"0,0"
"01/06/2023";"1400";"18,8";"18,8";"17,1";"83,0";"87,0";"83,0";"15,8";"15,8";"14,9";"1014,0";"1014,6";"1014,0";"3,2";"231,0";"5,7";"1414,40";"0,0"
"01/06/2023";"1500";"19,5";"19,8";"18,7";"80,0";"83,0";"79,0";"15,8";"16,2";"15,4";"1013,1";"1013,9";"1013,1";"3,9";"246,0";"7,2";"2172,20";"0,0"
"01/06/2023";"1600";"20,8";"20,8";"19,4";"76,0";"80,0";"76,0";"16,4";"16,6";"15,7";"1012,0";"1013,1";"1012,0";"3,7";"226,0";"7,2";"2220,60";"0,0"
