x,y
-52.0,-25.0
-52.0,-25.25
-52.0,-25.5
-52.0,-25.75
-52.0,-26.0
-52.0,-26.25
-52.0,-26.5
-52.0,-26.75
-52.0,-27.0
-52.0,-27.25
-52.0,-27.5
-52.0,-27.75
-52.0,-28.0
-51.75,-25.0
-51.75,-25.25
-51.75,-25.5
-51.75,-25.75
-51.75,-26.0
-51.75,-26.25
-51.75,-26.5
-51.75,-26.75
-51.75,-27.0
-51.75,-27.25
-51.75,-27.5
-51.75,-27.75
-51.75,-28.0
-51.5,-25.0
-51.5,-25.25
-51.5,-25.5
-51.5,-25.75
-51.5,-26.0
-51.5,-26.25
-51.5,-26.5
-51.5,-26.75
-51.5,-27.0
-51.5,-27.25
-51.5,-27.5
-51.5,-27.75
-51.5,-28.0
-51.25,-25.0
-51.25,-25.25
-51.25,-25.5
-51.25,-25.75
-51.25,-26.0
-51.25,-26.25
-51.25,-26.5
-51.25,-26.75
-51.25,-27.0
-51.25,-27.25
-51.25,-27.5
-51.25,-27.75
-51.25,-28.0
-51.0,-25.0
-51.0,-25.25
-51.0,-25.5
-51.0,-25.75
-51.0,-26.0
-51.0,-26.25
-51.0,-26.5
-51.0,-26.75
-51.0,-27.0
-51.0,-27.25
-51.0,-27.5
-51.0,-27.75
-51.0,-28.0
-50.75,-25.0
-50.75,-25.25
-50.75,-25.5
-50.75,-25.75
-50.75,-26.0
-50.75,-26.25
-50.75,-26.5
-50.75,-26.75
-50.75,-27.0
-50.75,-27.25
-50.75,-27.5
-50.75,-27.75
-50.75,-28.0
-50.5,-25.0
-50.5,-25.25
-50.5,-25.5
-50.5,-25.75
-50.5,-26.0
-50.5,-26.25
-50.5,-26.5
-50.5,-26.75
-50.5,-27.0
-50.5,-27.25
-50.5,-27.5
-50.5,-27.75
-50.5,-28.0
-50.25,-25.0
-50.25,-25.25
-50.25,-25.5
-50.25,-25.75
-50.25,-26.0
-50.25,-26.25
-50.25,-26.5
-50.25,-26.75
-50.25,-27.0
-50.25,-27.25
-50.25,-27.5
-50.25,-27.75
-50.25,-28.0
-50.0,-25.0
-50.0,-25.25
-50.0,-25.5
-50.0,-25.75
-50.0,-26.0
-50.0,-26.25
-50.0,-26.5
-50.0,-26.75
-50.0,-27.0
-50.0,-27.25
-50.0,-27.5
-50.0,-27.75
-50.0,-28.0
-49.75,-25.0
-49.75,-25.25
-49.75,-25.5
-49.75,-25.75
-49.75,-26.0
-49.75,-26.25
-49.75,-26.5
-49.75,-26.75
-49.75,-27.0
-49.75,-27.25
-49.75,-27.5
-49.75,-27.75
-49.75,-28.0
-49.5,-25.0
-49.5,-25.25
-49.5,-25.5
-49.5,-25.75
-49.5,-26.0
-49.5,-26.25
-49.5,-26.5
-49.5,-26.75
-49.5,-27.0
-49.5,-27.25
-49.5,-27.5
-49.5,-27.75
-49.5,-28.0
-49.25,-25.0
-49.25,-25.25
-49.25,-25.5
-49.25,-25.75
-49.25,-26.0
-49.25,-26.25
-49.25,-26.5
-49.25,-26.75
-49.25,-27.0
-49.25,-27.25
-49.25,-27.5
-49.25,-27.75
-49.25,-28.0
-49.0,-25.0
-49.0,-25.25
-49.0,-25.5
-49.0,-25.75
-49.0,-26.0
-49.0,-26.25
-49.0,-26.5
-49.0,-26.75
-49.0,-27.0
-49.0,-27.25
-49.0,-27.5
-49.0,-27.75
-49.0,-28.0
-48.75,-25.0
-48.75,-25.25
-48.75,-25.5
-48.75,-25.75
-48.75,-26.0
-48.75,-26.25
-48.75,-26.5
-48.75,-26.75
-48.75,-27.0
-48.75,-27.25
-48.75,-27.5
-48.75,-27.75
-48.75,-28.0
-48.5,-25.0
-48.5,-25.25
-48.5,-25.5
-48.5,-25.75
-48.5,-26.0
-48.5,-26.25
-48.5,-26.5
-48.5,-26.75
-48.5,-27.0
-48.5,-27.25
-48.5,-27.5
-48.5,-27.75
-48.5,-28.0
-48.25,-25.0
-48.25,-25.25
-48.25,-25.5
-48.25,-25.75
-48.25,-26.0
-48.25,-26.25
-48.25,-26.5
-48.25,-26.75
-48.25,-27.0
-48.25,-27.25
-48.25,-27.5
-48.25,-27.75
-48.25,-28.0
312.0,-25.0
312.0,-25.25
312.0,-25.5
312.0,-25.75
312.0,-26.0
312.0,-26.25
312.0,-26.5
312.0,-26.75
312.0,-27.0
312.0,-27.25
312.0,-27.5
312.0,-27.75
312.0,-28.0
